Gerät,Patch Date,Patch Level Status: Compliant (Last 2 Months)
ATSE-LT-BH37,September 2025,true
ATSE-LT-EDV01,September 2025,true
ATSE-LT-MAG56,September 2025,true
ATSE-LT-EDV47,September 2025,true
ATSE-VM-LANGEJ,August 2025,true
ATSE-LT-BH32,September 2025,true
ATSE-LT-BDE0333,September 2025,true
ATSE-LT-GF04,September 2025,true
ATSE-LT-ETECH05,September 2025,true
ATSE-LT-ETECH42,August 2025,true
ATSE-LT-PROD021,September 2025,true
ATSE-LT-PROD069,September 2025,true
ATSE-LT-EDV06,September 2025,true
HUOR-CL-BDE01,September 2025,true
ATSE-LT-EDV52,September 2025,true
ATSE-VM-GRESSPA,August 2025,true
ATSE-VM-PEXA1,September 2025,true
ATSE-LT-EDV20,September 2025,true
CNSH-LT-ACC04,September 2025,true
ATSE-LT-BDE4269,September 2025,true
ATSE-LT-BDE0010,September 2025,true
ATSE-LT-EDV23,September 2025,true
ATSE-LT-TD42,September 2025,true
ATSE-LT-BDE0100,September 2025,true
ATSE-LT-SV85,September 2025,true
ATSE-LT-BDE0025,September 2025,true
ATSE-LT-BDE0169,September 2025,true
ATSE-LT-ETECH13,August 2025,true
ATSE-LT-BDE0150,September 2025,true
ATSE-LT-DEV31,August 2025,true
ATSE-VM-PASSEG1,September 2025,true
ATSE-LT-BDE0099,September 2025,true
ATSE-LT-EDV18,September 2025,true
ATSE-LT-PROD025,September 2025,true
ATSE-LT-AV03,September 2025,true
ATSE-LT-SV26,September 2025,true
ATSE-LT-PROD24,September 2025,true
ATSE-LT-PM05,September 2025,true
ATSE-LT-BDE0045,September 2025,true
PLWS-LT-SW06,September 2025,true
ATSE-LT-BH22,September 2025,true
ATSE-LT-PJ08,September 2025,true
ATSE-LT-BDE6969,September 2025,true
ATSE-LT-MONT036,September 2025,true
AEDU2-LT-DEV40,August 2025,true
ATSE-LT-BDE0006,September 2025,true
ATSE-LT-BDE0038,September 2025,true
ATSE-LT-MONT080,September 2025,true
ATSE-LT-DOKU02,September 2025,true
USBU-LT-SVR10,September 2025,true
USBU-LT-SVR09,September 2025,true
ATSE-LT-CAD025,September 2025,true
ATSE-LT-LBS07,August 2025,true
AUTOPI-HCSZPJX4,September 2025,true
ATSE-LT-MONT048,September 2025,true
ATSE-LT-PROD037,September 2025,true
DECE-LT-GF01,July 2025,true
AUBE-LT-ACC07,September 2025,true
ATSE-VM-FF-L2,September 2025,true
ATSE-LT-BDE0062,September 2025,true
ATSE-LT-BDE0063,September 2025,true
ATSE-LT-BDE0069,September 2025,true
ATSE-LT-ETECH12,September 2025,true
ATSE-LT-PROD070,September 2025,true
ATSE-LT-PROD014,September 2025,true
ATSE-LT-BDE0201,September 2025,true
WIN11-TC4024,September 2025,true
CNSH-LT-CO03,September 2025,true
ATSE-LT-EDV48,September 2025,true
ATSE-LT-BDE0007,September 2025,true
CNSH-LT-SER56,September 2025,true
ATSE-LT-BDE0002,September 2025,true
ATSE-LT-MAG18,September 2025,true
ATSE-LT-BDE0043,September 2025,true
ATSE-LT-BDE0057,September 2025,true
ATSE-LT-ETECH96,September 2025,true
ATSE-LT-BDE0048,September 2025,true
ATSE-LT-BDE0051,September 2025,true
ATSE-LT-BDE0028,September 2025,true
ATSE-LT-MAG08,September 2025,true
ATSE-LT-MONT046,September 2025,true
ATSE-LT-PROD073,September 2025,true
ATSE-LT-PROD024,September 2025,true
ATSE-LT-BDE0059,September 2025,true
ATSE-LT-BDE0022,September 2025,true
ATSE-LT-BDE0053,September 2025,true
ATSE-LT-EDV07,September 2025,true
ATSE-LT-EDV02,August 2025,true
USBU-LT-ACC01,September 2025,true
ATSE-VDI-CAD003,August 2025,true
ATSE-LT-BDE0065,July 2025,true
ATSE-CL-STAMP02,September 2025,true
ATSE-TEST-WIN7,September 2025,true
USBU-LT-ACC03,September 2025,true
USBU-CL-EDV01,September 2025,true
USBU-LT-SV06,September 2025,true
USBU-LT-MONT02,September 2025,true
USBU-LT-SW03,September 2025,true
USBU-LT-SV10,September 2025,true
USBU-LT-SW04,September 2025,true
USBU-LT-SALES07,September 2025,true
ATSE-LT-VK22,August 2025,true
ATSE-LT-BH11,September 2025,true
USBU-LT-SPARE01,August 2025,true
